trial,"actor ","emotion ",channel,sentence,auditory_noise_level,video_1,audio_1,video_1_height,video_1_width,duration,video_1_x,video_1_y,video_1_x*,video_1_y*,
20,M7,Happy,Speech,Kid,Baseline,../User/Stimuli/AV_M7_H_Sp_K_N1.mp4,,480,720,4000,0,0,,,
21,M9,Angry,Song,Dog,Low,../User/Stimuli/V_M9_A_So_D_N1.mp4,../User/Stimuli/A_M9_A_So_D_0.wav,480,720,4000,0,0,,,
22,W8,Angry,Song,Dog,Baseline,../User/Stimuli/AV_W8_A_So_D_N1.mp4,,480,720,4000,0,0,,,
23,M9,Angry,Speech,Kid,High,../User/Stimuli/V_M9_A_Sp_K_N1.mp4,../User/Stimuli/A_M9_A_Sp_K_-5.wav,480,720,4000,0,0,,,
24,M9,Neutral,Song,Dog,Baseline,../User/Stimuli/AV_M9_N_So_D_N1.mp4,,480,720,4000,0,0,,,
25,M7,Neutral,Speech,Dog,No,../User/Stimuli/V_M7_N_Sp_D_N1.mp4,../User/Stimuli/A_M7_N_Sp_D.wav,480,720,4000,0,0,,,
26,M7,Happy,Speech,Kid,Low,../User/Stimuli/V_M7_H_Sp_K_N1.mp4,../User/Stimuli/A_M7_H_Sp_K_0.wav,480,720,4000,0,0,,,
27,M9,Angry,Speech,Kid,No,../User/Stimuli/V_M9_A_Sp_K_N1.mp4,../User/Stimuli/A_M9_A_Sp_K.wav,480,720,4000,0,0,,,
28,W6,Happy,Song,Dog,Baseline,../User/Stimuli/AV_W6_H_So_D_N1.mp4,,480,720,4000,0,0,,,
29,W8,Happy,Speech,Dog,Baseline,../User/Stimuli/AV_W8_H_Sp_D_N1.mp4,,480,720,4000,0,0,,,
30,W6,Fearful,Song,Dog,No,../User/Stimuli/V_W6_F_So_D_N1.mp4,../User/Stimuli/A_W6_F_So_D.wav,480,720,4000,0,0,,,
31,M7,Happy,Speech,Kid,High,../User/Stimuli/V_M7_H_Sp_K_N1.mp4,../User/Stimuli/A_M7_H_Sp_K_-5.wav,480,720,4000,0,0,,,
32,M7,Fearful,Song,Kid,High,../User/Stimuli/V_M7_F_So_K_N1.mp4,../User/Stimuli/A_M7_F_So_K_-5.wav,480,720,4000,0,0,,,
33,M7,Angry,Speech,Dog,Baseline,../User/Stimuli/AV_M7_A_Sp_D_N1.mp4,,480,720,4000,0,0,,,
34,M9,Happy,Speech,Kid,Baseline,../User/Stimuli/AV_M9_H_Sp_K_N1.mp4,,480,720,4000,0,0,,,
35,W8,Fearful,Speech,Kid,Low,../User/Stimuli/V_W8_F_Sp_K_N1.mp4,../User/Stimuli/A_W8_F_Sp_K_0.wav,480,720,4000,0,0,,,
36,M9,Happy,Speech,Kid,No,../User/Stimuli/V_M9_H_Sp_K_N1.mp4,../User/Stimuli/A_M9_H_Sp_K.wav,480,720,4000,0,0,,,
37,M9,Happy,Song,Kid,Baseline,../User/Stimuli/AV_M9_H_So_K_N1.mp4,,480,720,4000,0,0,,,
38,W8,Angry,Song,Kid,Low,../User/Stimuli/V_W8_A_So_K_N1.mp4,../User/Stimuli/A_W8_A_So_K_0.wav,480,720,4000,0,0,,,
39,M7,Fearful,Speech,Kid,Baseline,../User/Stimuli/AV_M7_F_Sp_K_N1.mp4,,480,720,4000,0,0,,,
40,W8,Angry,Speech,Dog,No,../User/Stimuli/V_W8_A_Sp_D_N1.mp4,../User/Stimuli/A_W8_A_Sp_D.wav,480,720,4000,0,0,,,
41,W6,Fearful,Speech,Kid,High,../User/Stimuli/V_W6_F_Sp_K_N1.mp4,../User/Stimuli/A_W6_F_Sp_K_-5.wav,480,720,4000,0,0,,,
42,W8,Angry,Speech,Dog,Baseline,../User/Stimuli/AV_W8_A_Sp_D_N1.mp4,,480,720,4000,0,0,,,
43,M9,Fearful,Song,Dog,Baseline,../User/Stimuli/AV_M9_F_So_D_N1.mp4,,480,720,4000,0,0,,,
44,M9,Angry,Speech,Kid,Low,../User/Stimuli/V_M9_A_Sp_K_N1.mp4,../User/Stimuli/A_M9_A_Sp_K_0.wav,480,720,4000,0,0,,,
45,M9,Happy,Speech,Kid,Low,../User/Stimuli/V_M9_H_Sp_K_N1.mp4,../User/Stimuli/A_M9_H_Sp_K_0.wav,480,720,4000,0,0,,,
46,W6,Angry,Speech,Kid,Baseline,../User/Stimuli/AV_W6_A_Sp_K_N1.mp4,,480,720,4000,0,0,,,
47,M7,Angry,Song,Dog,Low,../User/Stimuli/V_M7_A_So_D_N1.mp4,../User/Stimuli/A_M7_A_So_D_0.wav,480,720,4000,0,0,,,
48,W8,Neutral,Song,Dog,High,../User/Stimuli/V_W8_N_So_D_N1.mp4,../User/Stimuli/A_W8_N_So_D_-5.wav,480,720,4000,0,0,,,
49,M7,Angry,Speech,Kid,No,../User/Stimuli/V_M7_A_Sp_K_N1.mp4,../User/Stimuli/A_M7_A_Sp_K.wav,480,720,4000,0,0,,,
50,M7,Neutral,Speech,Kid,Baseline,../User/Stimuli/AV_M7_N_Sp_K_N1.mp4,,480,720,4000,0,0,,,
51,W8,Fearful,Song,Kid,Baseline,../User/Stimuli/AV_W8_F_So_K_N1.mp4,,480,720,4000,0,0,,,
52,W8,Happy,Speech,Dog,High,../User/Stimuli/V_W8_H_Sp_D_N1.mp4,../User/Stimuli/A_W8_H_Sp_D_-5.wav,480,720,4000,0,0,,,
53,W8,Neutral,Speech,Kid,High,../User/Stimuli/V_W8_N_Sp_K_N1.mp4,../User/Stimuli/A_W8_N_Sp_K_-5.wav,480,720,4000,0,0,,,
54,W8,Happy,Song,Kid,Low,../User/Stimuli/V_W8_H_So_K_N1.mp4,../User/Stimuli/A_W8_H_So_K_0.wav,480,720,4000,0,0,,,
55,W8,Angry,Speech,Dog,High,../User/Stimuli/V_W8_A_Sp_D_N1.mp4,../User/Stimuli/A_W8_A_Sp_D_-5.wav,480,720,4000,0,0,,,
56,W6,Fearful,Speech,Kid,No,../User/Stimuli/V_W6_F_Sp_K_N1.mp4,../User/Stimuli/A_W6_F_Sp_K.wav,480,720,4000,0,0,,,
57,M9,Angry,Speech,Kid,Baseline,../User/Stimuli/AV_M9_A_Sp_k_N1.mp4,,480,720,4000,0,0,,,
58,M9,Angry,Song,Kid,Baseline,../User/Stimuli/AV_M9_A_So_K_N1.mp4,,480,720,4000,0,0,,,
59,M9,Fearful,Speech,Dog,Baseline,../User/Stimuli/AV_M9_F_Sp_D_N1.mp4,,480,720,4000,0,0,,,
60,W8,Angry,Speech,Dog,Low,../User/Stimuli/V_W8_A_Sp_D_N1.mp4,../User/Stimuli/A_W8_A_Sp_D_0.wav,480,720,4000,0,0,,,
61,W6,Fearful,Speech,Dog,Baseline,../User/Stimuli/AV_W6_F_Sp_D_N1.mp4,,480,720,4000,0,0,,,
62,M9,Fearful,Speech,Dog,No,../User/Stimuli/V_M9_F_Sp_D_N1.mp4,../User/Stimuli/A_M9_F_Sp_D.wav,480,720,4000,0,0,,,
63,W8,Happy,Song,Kid,No,../User/Stimuli/V_W8_H_So_K_N1.mp4,../User/Stimuli/A_W8_H_So_K.wav,480,720,4000,0,0,,,
64,W8,Fearful,Song,Dog,Baseline,../User/Stimuli/AV_W8_F_So_D_N1.mp4,,480,720,4000,0,0,,,
65,M7,Happy,Song,Kid,Baseline,../User/Stimuli/AV_M7_H_So_K_N1.mp4,,480,720,4000,0,0,,,
66,W8,Angry,Song,Kid,No,../User/Stimuli/V_W8_A_So_K_N1.mp4,../User/Stimuli/A_W8_A_So_K.wav,480,720,4000,0,0,,,
67,W8,Neutral,Speech,Kid,No,../User/Stimuli/V_W8_N_Sp_K_N1.mp4,../User/Stimuli/A_W8_N_Sp_K.wav,480,720,4000,0,0,,,
68,M7,Angry,Song,Dog,High,../User/Stimuli/V_M7_A_So_D_N1.mp4,../User/Stimuli/A_M7_A_So_D_-5.wav,480,720,4000,0,0,,,
69,M7,Fearful,Speech,Dog,Baseline,../User/Stimuli/AV_M7_F_Sp_D_N1.mp4,,480,720,4000,0,0,,,
70,M9,Fearful,Song,Kid,Low,../User/Stimuli/V_M9_F_So_K_N1.mp4,../User/Stimuli/A_M9_F_So_K_0.wav,480,720,4000,0,0,,,
71,W8,Fearful,Song,Dog,High,../User/Stimuli/V_W8_F_So_D_N1.mp4,../User/Stimuli/A_W8_F_So_D_-5.wav,480,720,4000,0,0,,,
72,M9,Happy,Song,Dog,No,../User/Stimuli/V_M9_H_So_D_N1.mp4,../User/Stimuli/A_M9_H_So_D.wav,480,720,4000,0,0,,,
73,W6,Happy,Speech,Dog,Low,../User/Stimuli/V_W6_H_Sp_D_N1.mp4,../User/Stimuli/A_W6_H_Sp_D_0.wav,480,720,4000,0,0,,,
74,W8,Fearful,Speech,Kid,High,../User/Stimuli/V_W8_F_Sp_K_N1.mp4,../User/Stimuli/A_W8_F_Sp_K_-5.wav,480,720,4000,0,0,,,
75,M9,Fearful,Song,Kid,No,../User/Stimuli/V_M9_F_So_K_N1.mp4,../User/Stimuli/A_M9_F_So_K.wav,480,720,4000,0,0,,,
76,M7,Happy,Song,Dog,Baseline,../User/Stimuli/AV_M7_H_So_D_N1.mp4,,480,720,4000,0,0,,,
77,W6,Neutral,Speech,Kid,High,../User/Stimuli/V_W6_N_Sp_K_N1.mp4,../User/Stimuli/A_W6_N_Sp_K_-5.wav,480,720,4000,0,0,,,
78,M9,Happy,Song,Dog,High,../User/Stimuli/V_M9_H_So_D_N1.mp4,../User/Stimuli/A_M9_H_So_D_-5.wav,480,720,4000,0,0,,,
79,W8,Fearful,Speech,Kid,Baseline,../User/Stimuli/AV_W8_F_Sp_K_N1.mp4,,480,720,4000,0,0,,,
80,M9,Neutral,Song,Kid,Baseline,../User/Stimuli/AV_M9_N_So_K_N1.mp4,,480,720,4000,0,0,,,
,,,,,,,,,,,,,,,
